complaint_id,txn_id,user_id,merchant_id,transaction_timestamp,reported_timestamp,disputed_amount,reason_code,complaint_text,resolution_status,bank_response_timestamp,severity,channel,customer_match_status,merchant_match_status,transaction_match_status,transaction_user_id,transaction_merchant_id,user_consistency_status,merchant_consistency_status
CBK0002082,TXN00004325,USR97580,MCH1127,2026-01-28 00:00:00,2026-01-02 00:00:00,,Merchant Not Delivered,customer says amount was debited twice.,Closed,2026-10-02 03:19:10,Critical,IVR,Matched,Unmatched,Matched,USR48198,MCH9866,Mismatch,Mismatch
CBK0001941,TXN00003720,USR54113,MCH3835,2026-02-25 10:24:00,2026-03-05 06:24:15,414.69,Account Compromised,user reports money deducted but merchant denies receiving payment.,In Progress,2026-03-12 06:24:00,High,Call Center,Unmatched,Matched,Matched,USR19443,MCH8424,Mismatch,Mismatch
CBK0001799,TXN00012539,USR17980,MCH3700,2026-04-02 00:00:00,2026-05-02 00:00:00,7039.0,Customer Dispute,merchant service was not delivered after payment.,Open,2026-03-06 00:00:00,Low,IVR,Unmatched,Matched,Matched,USR99547,MCH6553,Mismatch,Mismatch
CBK0002465,TXN00017802,USR76148,MCH4534,2026-03-30 00:00:00,2026-04-01 00:00:00,1303.05,Merchant Not Delivered,suspicious high-value payment disputed by customer. pls check asap,Rejected,2026-04-07 00:00:00,High,IVR,Unmatched,Matched,Matched,USR63502,MCH5142,Mismatch,Mismatch
CBK0001870,TXN00015944,USR24660,MCH1686,2026-01-09 00:00:00,2026-01-14 21:01:41,1459.42,Merchant Not Delivered,merchant service was not delivered after payment.,In Progress,2026-01-26 00:00:00,Low,App,Unmatched,Matched,Matched,USR35339,MCH9649,Mismatch,Mismatch
CBK0002663,TXN00009741,USR40631,MCH9584,2026-05-02 00:00:00,2026-06-02 00:00:00,548.0,Service Failed,complaint received after multiple failed attempts. urgent,Closed,2026-02-23 00:00:00,Low,Branch,Unmatched,Matched,Matched,USR26919,MCH1247,Mismatch,Mismatch
CBK0000782,TXN00015086,USR58789,MCH6008,2026-02-05 00:00:00,2026-10-02 00:00:00,1949.6,Incorrect Amount,user says upi pin was not entered by them.,In Progress,2026-03-03 00:00:00,Medium,Chatbot,Matched,Unmatched,Matched,USR79526,MCH4011,Mismatch,Mismatch
CBK0001838,TXN00014426,USR30157,MCH4526,2026-03-26 10:17:08,2026-06-04 04:17:08,4193.52,Merchant Not Delivered,merchant service was not delivered after payment. details missing,Open,2026-04-18 00:00:00,Medium,Chatbot,Unmatched,Matched,Matched,USR55594,MCH4220,Mismatch,Mismatch
CBK0001095,TXN00015316,USR86750,MCH5980,2026-12-01 00:00:00,2026-01-13 00:00:00,930.83,Customer Dispute,customer complaint text unclear due to poor call center notes.,Open,2026-01-14 00:00:00,High,Branch,Unmatched,Matched,Matched,USR10923,MCH9944,Mismatch,Mismatch
CBK0002541,TXN00002822,USR11987,MCH3992,2026-03-18 10:04:06,2026-03-23 00:00:00,,Unauthorized Transaction,user claims account was compromised before transaction.,Open,2026-03-30 00:00:00,High,IVR,Matched,Unmatched,Matched,USR72065,MCH5025,Mismatch,Mismatch
CBK0001147,TXN00002456,USR89588,MCH2614,2026-10-02 03:16:00,2026-02-12 00:00:00,1805.23,Duplicate Debit,customer says amount was debited twice.,In Progress,2026-03-12 14:16:00,Low,Chatbot,Unmatched,Unmatched,Matched,USR91688,MCH1530,Mismatch,Mismatch
CBK0001137,TXN00015627,USR35882,MCH8913,2026-01-21 01:07:00,2026-01-21 00:00:00,4853.7,Customer Dispute,customer says amount was debited twice.,Resolved,2026-06-02 08:07:54,Medium,Chatbot,Unmatched,Unmatched,Matched,USR67372,MCH4068,Mismatch,Mismatch
CBK0002213,TXN00009870,USR79046,MCH8457,2026-01-02 00:00:00,2026-02-17 00:00:00,12334.0,Merchant Not Delivered,merchant service was not delivered after payment.,In Progress,,Medium,IVR,Matched,Unmatched,Matched,USR94755,MCH4350,Mismatch,Mismatch
CBK0000946,TXN00013141,USR22644,MCH9193,2026-01-26 00:00:00,2026-01-31 14:01:41,7638.7,Fraud,merchant service was not delivered after payment.,In Progress,,Critical,Email,Matched,Matched,Matched,USR57357,MCH4297,Mismatch,Mismatch
CBK0002366,TXN00012165,USR98915,MCH6399,2026-02-20 00:00:00,2026-02-20 00:00:00,,Fraud,customer says transaction was not authorized.,In Progress,2026-02-23 21:48:00,Low,Call Center,Unmatched,Unmatched,Matched,USR25527,MCH8279,Mismatch,Mismatch
CBK0002026,TXN00019737,USR27262,MCH4852,2026-01-13 00:00:00,2026-01-23 00:00:00,174.11,Duplicate Debit,merchant service was not delivered after payment.,Resolved,2026-02-11 19:25:13,Medium,IVR,Matched,Unmatched,Matched,USR22518,MCH3557,Mismatch,Mismatch
CBK0001099,TXN00011289,USR94570,MCH4545,2026-01-30 04:49:00,2026-04-02 00:00:00,305.0,Account Compromised,payment made to unknown merchant as per customer statement.,Closed,2026-02-28 00:00:00,Critical,IVR,Unmatched,Unmatched,Matched,USR34760,MCH2523,Mismatch,Mismatch
CBK0001197,TXN00006253,USR19220,MCH7286,2026-08-01 00:00:00,2026-10-01 00:00:00,4952.0,Customer Dispute,complaint received after multiple failed attempts.,Rejected,2026-01-20 14:43:26,Medium,Chatbot,Unmatched,Unmatched,Matched,USR69852,MCH5556,Mismatch,Mismatch
CBK0002347,TXN00010961,USR55439,MCH7581,2026-02-13 00:00:00,2026-03-15 00:00:00,1126.18,Incorrect Amount,customer says transaction was not authorized.,Rejected,,Low,Branch,Matched,Matched,Matched,USR48343,MCH2000,Mismatch,Mismatch
CBK0000289,TXN00005764,USR38028,MCH6758,2026-03-12 23:03:00,,513.84,Fraud,user claims account was compromised before transaction.,Rejected,,Medium,Chatbot,Matched,Matched,Matched,USR13009,MCH9737,Mismatch,Mismatch
CBK0002002,TXN00010298,USR97772,MCH5269,2026-03-01 00:00:00,2026-08-01 00:00:00,534.44,Service Failed,merchant service was not delivered after payment. urgent,In Progress,2026-03-02 23:32:04,Critical,Chatbot,Matched,Matched,Matched,USR46932,MCH8645,Mismatch,Mismatch
CBK0000512,TXN00014054,USR27947,MCH7667,2026-01-21 00:00:00,2026-01-26 00:00:00,4010.97,Unauthorized Transaction,customer says amount was debited twice.,Closed,2026-01-30 00:00:00,Low,Chatbot,Matched,Matched,Matched,USR19303,MCH7408,Mismatch,Mismatch
CBK0001155,TXN00010146,USR94690,MCH3957,2026-09-02 19:16:42,,2637.93,Unauthorized Transaction,payment made to unknown merchant as per customer statement.,In Progress,2026-02-23 06:16:42,Medium,IVR,Matched,Unmatched,Matched,USR43735,MCH7890,Mismatch,Mismatch
CBK0001330,TXN00005940,USR67471,MCH8738,2026-03-14 00:34:00,2026-03-15 12:34:00,1360.01,Duplicate Debit,suspicious high-value payment disputed by customer.,Pending Bank,2026-03-27 00:00:00,Medium,Chatbot,Unmatched,Unmatched,Matched,USR31098,MCH1421,Mismatch,Mismatch
