cluster_id,node_type,entity_id
1,user,USR31065
1,user,USR66270
1,user,USR92419
1,merchant,MCH7754
1,user,USR10001
1,user,USR43525
1,user,USR44123
1,user,USR28526
1,user,USR85268
1,merchant,MCH4581
1,user,USR31453
1,merchant,MCH2716
1,user,USR17742
1,merchant,MCH4337
1,merchant,MCH9453
1,user,USR70807
1,user,USR42941
2,user,USR83071
2,user,USR34733
2,user,USR32445
2,user,USR55387
2,user,USR77303
2,user,USR27730
2,merchant,MCH5982
2,user,USR63044
2,user,USR58599
2,user,USR90546
2,user,USR82519
2,user,USR18294
2,merchant,MCH5050
2,user,USR59241
2,user,USR95193
2,user,USR30637
2,user,USR88037
2,merchant,MCH9441
2,user,USR91979
2,user,USR58226
2,user,USR74571
2,merchant,MCH4755
2,merchant,MCH9618
2,merchant,MCH6844
2,user,USR60667
2,user,USR91737
2,user,USR52490
2,user,USR55323
2,user,USR65211
2,user,USR32069
2,user,USR55171
2,user,USR65191
2,merchant,MCH7722
2,user,USR67496
2,user,USR47565
2,user,USR67028
2,user,USR37686
2,user,USR63045
2,user,USR93379
2,user,USR22639
2,user,USR96662
2,user,USR61903
2,user,USR78409
2,user,USR70766
2,user,USR28654
2,user,USR48114
2,user,USR53982
2,merchant,MCH6170
2,user,USR60806
2,user,USR66000
2,merchant,MCH2053
2,user,USR29233
2,user,USR93092
2,user,USR59610
2,user,USR45003
2,merchant,MCH1077
2,merchant,MCH9637
2,user,USR21715
2,user,USR29205
2,user,USR96073
2,merchant,MCH5000
2,merchant,MCH4873
2,user,USR94361
2,user,USR85892
2,user,USR89475
2,user,USR48202
2,user,USR18834
2,user,USR84844
2,merchant,MCH5296
2,user,USR94559
2,user,USR99392
2,merchant,MCH4720
2,merchant,MCH3826
2,user,USR46599
2,merchant,MCH4185
2,merchant,MCH4048
2,merchant,MCH6310
2,user,USR49176
2,user,USR41191
2,merchant,MCH8975
2,user,USR76120
2,merchant,MCH5721
2,user,USR49335
2,user,USR97479
2,user,USR88675
2,user,USR26391
2,user,USR28314
2,merchant,MCH3137
2,user,USR85053
2,user,USR28058
2,user,USR32852
2,user,USR92250
2,user,USR96309
2,merchant,MCH4937
2,merchant,MCH8634
2,user,USR48989
2,merchant,MCH5909
2,merchant,MCH8267
2,user,USR56224
2,user,USR11921
2,merchant,MCH6381
2,user,USR45609
2,merchant,MCH1299
2,user,USR95371
2,user,USR47192
2,merchant,MCH5245
2,user,USR69198
2,user,USR15241
2,user,USR44809
2,user,USR24993
2,merchant,MCH5216
2,user,USR44547
2,user,USR49783
2,user,USR53359
2,user,USR92776
2,merchant,MCH2302
2,merchant,MCH8739
2,merchant,MCH1782
2,user,USR35605
2,merchant,MCH9214
2,merchant,MCH2826
2,merchant,MCH4859
2,user,USR19898
2,merchant,MCH3594
2,user,USR25501
2,user,USR67336
2,user,USR82250
2,user,USR79672
2,user,USR65428
2,merchant,MCH8841
2,merchant,MCH1466
2,user,USR24507
2,user,USR99390
2,user,USR99920
2,user,USR47239
2,merchant,MCH6675
2,user,USR11855
2,merchant,MCH3210
2,user,USR85839
2,user,USR90342
2,user,USR66677
2,user,USR20115
2,user,USR72890
2,user,USR57014
2,merchant,MCH5017
2,user,USR19400
2,user,USR57543
2,user,USR92059
2,user,USR60133
2,user,USR29446
2,merchant,MCH6893
2,user,USR36710
2,user,USR29967
2,merchant,MCH5169
2,merchant,MCH9944
2,user,USR66360
2,merchant,MCH9339
2,user,USR48063
2,user,USR14444
2,merchant,MCH6026
2,user,USR62425
2,merchant,MCH5125
2,user,USR76452
2,user,USR45290
2,merchant,MCH4422
2,user,USR62385
2,user,USR85582
2,user,USR48445
2,user,USR77990
2,user,USR32271
2,user,USR56351
2,user,USR61745
2,user,USR87727
2,user,USR11274
2,user,USR93118
2,user,USR69443
2,user,USR17300
2,user,USR58434
2,user,USR89505
2,merchant,MCH8972
2,merchant,MCH3532
2,user,USR70222
2,user,USR78501
2,user,USR72227
2,merchant,MCH8249
2,merchant,MCH8791
2,user,USR74780
2,user,USR26661
2,user,USR14591
2,user,USR96436
2,user,USR43522
2,user,USR15325
2,user,USR42077
2,merchant,MCH2253
2,user,USR38429
2,merchant,MCH8912
2,merchant,MCH2362
2,user,USR11010
2,merchant,MCH9122
2,merchant,MCH7075
2,merchant,MCH4955
2,user,USR63248
2,user,USR94790
2,user,USR40818
2,user,USR99212
2,user,USR17346
2,user,USR89234
2,user,USR79942
2,user,USR81185
2,user,USR18716
2,merchant,MCH2997
2,user,USR57603
2,merchant,MCH4117
2,user,USR99246
2,user,USR64277
2,user,USR27891
2,user,USR61879
2,user,USR69461
2,merchant,MCH6921
2,user,USR46650
2,merchant,MCH1225
2,merchant,MCH9021
2,user,USR25990
2,merchant,MCH8691
2,user,USR55000
2,user,USR28861
2,user,USR21049
2,merchant,MCH1336
2,user,USR55971
2,merchant,MCH9921
2,user,USR31808
2,user,USR39214
2,merchant,MCH9349
2,merchant,MCH2805
2,user,USR63993
2,merchant,MCH1300
2,user,USR11916
2,user,USR95283
2,user,USR65375
2,user,USR79110
2,user,USR15222
2,user,USR93255
2,merchant,MCH3680
2,user,USR39325
2,user,USR30137
2,user,USR78736
2,user,USR60681
2,user,USR65987
2,user,USR72472
2,user,USR37047
2,user,USR26507
2,user,USR65193
2,merchant,MCH6197
2,user,USR27025
2,user,USR66731
2,user,USR58131
2,user,USR57669
2,merchant,MCH8416
2,merchant,MCH4554
2,user,USR83402
2,merchant,MCH8935
2,user,USR46488
2,user,USR54295
2,merchant,MCH2033
2,user,USR87526
2,user,USR72843
2,user,USR86472
2,user,USR64438
2,user,USR40949
2,merchant,MCH4759
2,user,USR16556
2,user,USR84196
2,user,USR92483
2,user,USR59531
2,user,USR81891
2,user,USR81644
2,merchant,MCH5253
2,user,USR85507
2,merchant,MCH9892
2,user,USR61775
2,merchant,MCH7567
2,merchant,MCH9069
2,user,USR11533
2,user,USR91091
2,merchant,MCH4577
2,user,USR94106
2,user,USR93098
2,user,USR31060
2,merchant,MCH9014
2,user,USR13912
2,user,USR35838
2,user,USR90775
2,user,USR50013
2,user,USR70754
2,user,USR71887
2,user,USR32283
2,user,USR41787
2,user,USR21386
2,user,USR29835
2,user,USR70447
2,user,USR87914
2,merchant,MCH5935
2,user,USR47337
2,merchant,MCH7772
2,user,USR70762
2,user,USR58062
2,user,USR64673
2,user,USR15635
2,user,USR91899
2,user,USR44544
2,user,USR27533
2,merchant,MCH2938
2,user,USR68168
2,user,USR93977
2,user,USR48470
2,merchant,MCH4345
2,merchant,MCH5188
2,user,USR64980
2,user,USR91403
2,merchant,MCH1863
2,user,USR87329
2,user,USR56871
2,user,USR75252
2,user,USR43341
2,user,USR38247
2,user,USR65036
2,user,USR41323
2,user,USR31711
2,user,USR33506
2,merchant,MCH4252
2,user,USR71070
2,user,USR93416
2,user,USR73573
2,user,USR72238
2,user,USR46429
2,user,USR17863
2,user,USR44757
2,user,USR28871
2,user,USR74004
2,merchant,MCH8053
2,merchant,MCH3883
2,user,USR39355
2,user,USR99660
2,user,USR28670
2,user,USR15393
2,user,USR44482
2,user,USR61088
2,user,USR88925
2,merchant,MCH4798
2,user,USR88145
2,merchant,MCH1592
2,user,USR35227
2,user,USR65291
2,merchant,MCH9133
2,user,USR33746
2,merchant,MCH1479
2,user,USR48435
2,user,USR58869
2,merchant,MCH2586
2,merchant,MCH8619
2,user,USR30993
2,merchant,MCH1773
2,merchant,MCH6777
2,user,USR29314
2,user,USR87237
2,user,USR82330
2,user,USR44641
2,merchant,MCH6806
2,merchant,MCH5121
2,user,USR33354
2,user,USR37175
2,merchant,MCH3509
2,user,USR95233
2,user,USR81435
2,user,USR93139
2,merchant,MCH3143
