cluster_id,user_count,merchant_count,network_edge_count,transaction_count,transaction_amount,failed_transaction_count,failed_rate,chargeback_count,disputed_amount,chargeback_rate,high_risk_edges,risk_score,risk_level
1,12,5,16,14.0,191397.26,4.0,28.57142857142857,2.0,3136.32,14.285714285714285,0,55.0,High
2,3542,1234,4855,3454.0,44090991.09,335.0,9.698899826288361,1406.0,4013548.42,40.70642733063115,12,100.0,Critical
3,7,4,10,10.0,131673.73,0.0,0.0,0.0,0.0,0.0,0,15.0,Low
4,6,2,7,7.0,51372.84,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
5,4,1,4,4.0,72914.23,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
6,6,2,7,6.0,94809.99,0.0,0.0,1.0,9736.35,16.666666666666664,0,35.0,Medium
7,3,1,3,2.0,28077.91,0.0,0.0,1.0,800.32,50.0,0,25.0,Medium
8,2,1,2,2.0,27120.940000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
9,7,3,9,7.0,118059.93,1.0,14.285714285714285,2.0,9872.6,28.57142857142857,0,45.0,Medium
10,11,4,14,14.0,132410.96,4.0,28.57142857142857,0.0,0.0,0.0,0,25.0,Medium
11,2,1,2,2.0,2112.73,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
12,1,1,1,1.0,13414.9,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
13,1,1,1,1.0,3756.23,1.0,100.0,0.0,0.0,0.0,0,10.0,Low
14,3,1,3,3.0,40882.659999999996,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
15,7,2,8,8.0,97661.21,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
16,5,1,5,5.0,84949.79,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
17,1,1,1,1.0,14301.02,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
18,5,2,6,6.0,70358.96,1.0,16.666666666666664,0.0,0.0,0.0,0,10.0,Low
19,5,1,5,5.0,49089.29,1.0,20.0,0.0,0.0,0.0,0,20.0,Low
20,1,1,1,1.0,13714.99,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
21,10,4,13,12.0,122734.71,2.0,16.666666666666664,1.0,1082.82,8.333333333333332,0,40.0,Medium
22,3,1,3,2.0,20267.42,0.0,0.0,1.0,2501.0,50.0,0,25.0,Medium
23,1,1,1,1.0,3809.97,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
24,5,1,5,5.0,62937.02,0.0,0.0,0.0,0.0,0.0,0,10.0,Low
25,4,1,4,4.0,49595.54,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
26,21,8,28,27.0,409827.45,3.0,11.11111111111111,1.0,933.13,3.7037037037037033,0,20.0,Low
27,5,1,5,5.0,87112.33,1.0,20.0,0.0,0.0,0.0,0,20.0,Low
28,3,1,3,3.0,24867.85,0.0,0.0,0.0,0.0,0.0,0,0.0,Low
29,2,1,2,2.0,19129.36,1.0,50.0,0.0,0.0,0.0,0,10.0,Low
