user_id,merchant_id,transaction_count,transaction_amount,failed_count,chargeback_count,disputed_amount,failed_rate,chargeback_rate,edge_risk_score,risk_level
USR10001,MCH7754,1.0,1720.78,1.0,0.0,0.0,100.0,0.0,12.0,Low
USR10006,MCH5742,1.0,8445.34,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10007,MCH2501,1.0,14075.13,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10007,MCH8176,1.0,12698.2,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10011,MCH6493,1.0,8691.46,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10012,MCH9499,1.0,11874.48,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10017,MCH3949,1.0,16402.16,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10027,MCH7654,1.0,18054.43,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10032,MCH3474,1.0,24876.37,1.0,0.0,0.0,100.0,0.0,12.0,Low
USR10035,MCH7111,1.0,13610.91,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10042,MCH1611,0.0,0.0,0.0,1.0,8214.17,0,0,25.0,Medium
USR10044,MCH1264,1.0,9096.65,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10046,MCH2198,1.0,1094.88,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10047,MCH6850,0.0,0.0,0.0,1.0,1341.86,0,0,25.0,Medium
USR10055,MCH4138,1.0,13414.9,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10060,MCH9608,1.0,3756.23,1.0,0.0,0.0,100.0,0.0,12.0,Low
USR10061,MCH7854,1.0,5690.29,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10064,MCH5224,1.0,6814.96,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10069,MCH7948,1.0,7005.63,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10071,MCH1139,1.0,14301.02,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10074,MCH6217,1.0,8987.19,1.0,0.0,0.0,100.0,0.0,12.0,Low
USR10074,MCH7343,1.0,24683.53,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10075,MCH1278,1.0,6711.68,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10078,MCH9972,1.0,13714.99,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10082,MCH3237,1.0,22723.1,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10085,MCH8082,1.0,9473.8,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10085,MCH9212,1.0,6766.88,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10086,MCH2137,1.0,12874.26,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10088,MCH6132,1.0,3809.97,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10094,MCH1173,1.0,8987.24,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10100,MCH2458,1.0,20357.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10104,MCH4652,1.0,18458.04,0.0,0.0,0.0,0.0,0.0,0.0,Low
USR10107,MCH2424,1.0,22698.19,1.0,0.0,0.0,100.0,0.0,12.0,Low
USR10110,MCH5014,1.0,13924.46,0.0,0.0,0.0,0.0,0.0,0.0,Low
