merchant_id,merchant_name,merchant_category,business_type,city,state,merchant_status,declared_avg_ticket_size,transaction_count,transaction_amount,average_transaction_value,successful_transactions,failed_transactions,pending_transactions,chargeback_count,disputed_amount,high_severity_chargebacks,critical_chargebacks,failed_rate,chargeback_rate,disputed_amount_rate,risk_score,risk_level,repeated_chargeback_flag,high_failed_rate_flag,high_chargeback_rate_flag
MCH9291,"Mukhopadhyay, Dua And Dada",Apparel & Fashion,Sole Proprietor,Delhi,Delhi,Active,875.0,3.0,20252.79,6750.93,3.0,0.0,0.0,42.0,167555.99,11.0,2.0,0.0,1400.0,827.32,100.0,Critical,True,False,True
MCH5954,"Chand, Dora And Dey",Restaurants & Food,Private Limited,Chennai,Tamil Nadu,Active,1159.45,2.0,28731.989999999998,14365.994999999999,2.0,0.0,0.0,28.0,148004.79,9.0,2.0,0.0,1400.0,515.12,100.0,Critical,True,False,True
MCH2383,Dewan-Misra,Telecom,Sole Proprietor,Ludhiana,Punjab,Active,923.06,3.0,32449.54,10816.513333333334,2.0,1.0,0.0,27.0,106943.76,4.0,3.0,33.33,900.0,329.57,100.0,Critical,True,True,True
MCH8953,Narayan-Uppal,Pharmacy,Private Limited,Ludhiana,Punjab,Active,2726.98,3.0,40908.740000000005,13636.246666666668,2.0,1.0,0.0,27.0,85106.75,7.0,2.0,33.33,900.0,208.04,100.0,Critical,True,True,True
MCH8779,Tak-Wali,Restaurants & Food,Individual,Bengaluru,Karnataka,Active,206.0,6.0,78407.95999999999,13067.993333333332,6.0,0.0,0.0,34.0,84515.06,11.0,4.0,0.0,566.67,107.79,100.0,Critical,True,False,True
MCH2266,Natarajan And Sons,Pharmacy,Individual,Chennai,Tamil Nadu,Active,447.78,1.0,6862.64,6862.64,1.0,0.0,0.0,24.0,78233.12,7.0,2.0,0.0,2400.0,1139.99,100.0,Critical,True,False,True
MCH2757,Chhabra-Dugar,Apparel & Fashion,Sole Proprietor,Kolkata,West Bengal,Active,1214.2,1.0,17669.0,17669.0,1.0,0.0,0.0,25.0,69822.18000000001,6.0,2.0,0.0,2500.0,395.17,100.0,Critical,True,False,True
MCH1320,Babu-Khatri,Apparel & Fashion,Individual,Kolkata,West Bengal,Active,,1.0,16705.45,16705.45,1.0,0.0,0.0,30.0,54121.32,8.0,2.0,0.0,3000.0,323.97,100.0,Critical,True,False,True
MCH8391,Talwar-Bhasin,Apparel & Fashion,Individual,Ludhiana,Punjab,Active,2052.0,2.0,40807.04,20403.52,1.0,0.0,1.0,24.0,53991.09,8.0,3.0,0.0,1200.0,132.31,100.0,Critical,True,False,True
MCH8154,Yohannan Plc,Transportation,Sole Proprietor,Jalandhar,Punjab,Suspended,998.6,4.0,38971.79,9742.9475,4.0,0.0,0.0,22.0,51628.14,5.0,0.0,0.0,550.0,132.48,100.0,Critical,True,False,True
