txn_id,timestamp,user_id,merchant_id,amount,utr,mcc,status
TXN00003140,05-01-26 9:33,USR10001,MCH7754,Rs. 1720.78,UTR 9582999977,5812,F
TXN00019314,03-06-26 22:13,USR10006,MCH5742,8445.34,UTR1697650520,5812,PENDING
TXN00008217,13-03-26 14:46,USR10007,MCH2501,Rs. 14075.13,UTR7905031096,5812,SUCCESS
TXN00019634,11-02-26,USR10007,MCH8176,"12,698.20",UTR1853863028,5411,SUCCESS
TXN00014073,21-01-26 9:02,USR10011,MCH6493,8691.46,UTR8405170927,7011,COMPLETED
TXN00005067,14-02-26 8:17,USR10012,MCH9499,"11,874.48",UTR9377715040,7011,S
TXN00014629,19-02-26 6:23,USR10017,MCH3949,Rs. 16402.16,UTR9245307976,4131,Success
TXN00004317,22-01-26 11:02,USR10027,MCH7654,18054.43,UTR7672686035,7011,Success
TXN00013136,01-14-2026 10:46:49 AM,USR10032,MCH3474,24876.37,UTR5267841788,7011,FAILED
TXN00003134,20-01-26 7:50,USR10035,MCH7111,Rs. 13610.91,UTR2576527872,5411,COMPLETED
TXN00007405,20-02-26 18:00,USR10044,MCH1264,9096.65,UTR4870744531,4131,S
TXN00001549,26-03-26,USR10046,MCH2198,"1,094.88",UTR6550967137,7011,Success
TXN00007451,16-02-26,USR10055,MCH4138,13414.9,UTR2066511466,5411,SUCCESS
TXN00005978,23-03-26,USR10060,MCH9608,3756.23,UTR0881589581,7011,F
TXN00016879,31-01-26 19:19,USR10061,MCH7854,5690.29,UTR8947396258,5812,TXN_SUCCESS
TXN00000936,27-02-26 11:12,USR10064,MCH5224,6814.96,UTR7235721452,5812,COMPLETED
TXN00009479,01-01-26 9:34,USR10069,MCH7948,7005.63,UTR1717866717,5912,Success
TXN00010641,19-03-26 11:30,USR10071,MCH1139,14301.02,UTR2005188368,4131,Initiated
TXN00012790,01-10-26 15:22,USR10074,MCH6217,"8,987.19",UTR6994728034,4131,Declined
TXN00004172,18-02-26 3:18,USR10074,MCH7343,24683.53,UTR8117220127,5812,TXN_SUCCESS
TXN00004006,16-02-26 3:59,USR10075,MCH1278,6711.68,UTR1314976464,5912,S
TXN00003321,27-01-26 8:55,USR10078,MCH9972,13714.99,UTR5942560726,7011,Success
TXN00010671,03-14-2026 01:18:15 PM,USR10082,MCH3237,22723.1,,,Success
TXN00010671,03-14-2026 01:18:15 PM,USR10082,MCH3237,22723.1,,,Success
TXN00006235,03-27-2026 02:29:45 AM,USR10085,MCH8082,9473.8,UTR0359990827,,PROCESSING
TXN00008463,21-02-26 2:06,USR10085,MCH9212,"₹6,766.88",,5912,TXN_SUCCESS
TXN00016636,05-02-26 5:09,USR10086,MCH2137,12874.26,UTR6422700877,5411,Success
TXN00017864,11-01-26 14:53,USR10088,MCH6132,3809.97,UTR 8547285882,5812,S
TXN00001379,02-02-26 0:29,USR10094,MCH1173,8987.24,UTR8297632499,5411,TXN_SUCCESS
TXN00013772,01-02-26 21:44,USR10100,MCH2458,"INR 20,357",UTR0757042280,,S
TXN00015720,06-02-26 19:21,USR10104,MCH4652,18458.04,UTR1828441345,7011,Success
TXN00010435,27-01-26 7:21,USR10107,MCH2424,22698.19,UTR7657732811,5812,Fail
TXN00000256,07-01-26 17:16,USR10110,MCH5014,13924.46,UTR5941138189,7011,Success
TXN00018687,22-02-26 18:47,USR10111,MCH5125,18111.68,UTR6600771706,7011,TXN_SUCCESS
TXN00017257,06-03-26 0:10,USR10119,MCH2039,Rs. 586.09,UTR8884000249,,SUCCESS
TXN00010280,11-03-26 21:06,USR10125,MCH1210,"₹10,766.24",UTR5287259931,5912,SUCCESS
TXN00018445,04-01-26 5:27,USR10128,MCH9275,"17,945.13",UTR1987522908,5411,SUCCESS
TXN00005860,19-02-26 4:55,USR10128,MCH1174,-14669.18,UTR5010910907,,FAILED
TXN00008273,16-01-26,USR10134,MCH2185,"₹1,750.45",UTR2668786102,5912,SUCCESS
TXN00015075,19-03-26 5:44,USR10142,MCH3620,23295.4,UTR3742930408,5411,COMPLETED
TXN00017486,08-03-26 5:28,USR10143,MCH3727,"₹7,545.58",UTR 7318227043,5411,COMPLETED
TXN00008712,17-01-26 10:23,USR10143,MCH6078,7244.55,,5812,COMPLETED
TXN00011894,01-15-2026 01:40:06 AM,USR10147,MCH3275,12485.3,UTR5080506799,4131,Fail
TXN00009587,20-03-26 22:04,USR10156,MCH1421,"₹4,524.57",UTR4554286330,5912,COMPLETED
TXN00008793,06-03-26 2:46,USR10159,MCH2522,"₹3,524.93",UTR1117376146,7011,TXN_SUCCESS
TXN00011293,17-03-26 23:03,USR10160,MCH5990,13850.23,UTR7733747708,4131,PROCESSING
TXN00006892,24-01-26 16:09,USR10162,MCH8198,22520,,5411,F
TXN00016514,09-03-26,USR10168,MCH9950,"12,265.35",UTR6947557501,7011,TXN_SUCCESS
TXN00009289,20-02-26 11:00,USR10186,MCH8364,"₹10,108.71",UTR0635208084,5912,S
TXN00014117,11-02-26,USR10190,MCH5597,8794.69,UTR2531619439,,FAILED
TXN00004816,04-02-26 3:08,USR10190,MCH4895,"INR 23,371",UTR8064637653,5812,Declined
TXN00004968,14-03-26 19:06,USR10191,MCH5661,"17,880.97",UTR1306237847,5411,TXN_SUCCESS
TXN00013631,07-01-26 7:31,USR10193,MCH9375,"INR 4,545",UTR7978531205,5812,SUCCESS
TXN00011749,15-01-26 8:16,USR10195,MCH1412,6109.15,UTR5325026615,5411,Success
TXN00015607,26-01-26 23:01,USR10196,MCH4153,19600.08,UTR6550037413,,COMPLETED
TXN00010109,03-03-26 22:50,USR10197,MCH6735,"₹7,997.26",UTR5843990621,,COMPLETED
TXN00019418,17-02-26 14:17,USR10201,MCH1897,-22603.66,UTR0267959990,7011,S
TXN00008060,1769823227,USR10207,MCH4636,13800.2,UTR5311539263,7011,Success
TXN00000315,21-01-26 19:12,USR10208,MCH2346,20901.14,UTR7621092533,5411,COMPLETED
TXN00001979,29-01-26 15:09,USR10226,MCH1277,21819.53,UTR4525661010,4131,PROCESSING
TXN00010386,12-01-26 17:21,USR10250,MCH7688,Rs. 4861.88,,5411,TXN_SUCCESS
TXN00003215,04-01-26 1:33,USR10255,MCH6246,5747.66,UTR1326708064,5411,TXN_SUCCESS
TXN00011752,03-14-2026 11:18:58 AM,USR10259,MCH2840,Rs. 21451.3,UTR9327836897,5411,Success
TXN00013582,01-02-26 23:08,USR10261,MCH1485,3339.34,UTR9644219295,5812,S
TXN00016384,15-01-26 14:02,USR10264,MCH7016,12910.67,UTR5621787408,4131,Success
TXN00016849,24-03-26 21:33,USR10270,MCH6735,"₹8,199.90",UTR9776714722,5912,PENDING
TXN00004294,1772365114,USR10273,MCH6512,22701.38,UTR0676349117,7011,TXN_SUCCESS
TXN00007970,13-02-26 4:41,USR10276,MCH8795,"₹22,378.55",UTR6666613474,7011,Pending
TXN00010362,20-01-26 16:11,USR10279,MCH9877,22194.96,UTR3910188958,5411,COMPLETED
TXN00013691,23-03-26 15:09,USR10286,MCH6287,Rs. 12267.06,UTR2867864576,4131,SUCCESS
TXN00019174,12-02-26,USR10288,MCH8939,11412.83,,5411,PROCESSING
TXN00004510,19-03-26 6:32,USR10294,MCH8976,23537.44,UTR1764972528,,S
TXN00006096,26-02-26 8:13,USR10295,MCH7985,18552.46,UTR7217020158,,Success
TXN00015818,26-03-26 12:26,USR10301,MCH9934,23384.2,UTR3339081848,5411,F
TXN00009799,23-03-26 13:15,USR10303,MCH2245,10374.25,UTR5291504031,5912,SUCCESS
TXN00014743,10-03-26,USR10317,MCH6444,20149.58,UTR8593732188,5912,SUCCESS
TXN00016873,16-03-26 14:04,USR10322,MCH8055,408.48,UTR6392630398,7011,SUCCESS
TXN00015701,02-28-2026 11:16:58 PM,USR10325,MCH3948,Rs. 7474.11,UTR1578715611,,Success
TXN00015160,02-28-2026 09:30:57 AM,USR10326,MCH2326,8343.09,UTR0433151536,,S
TXN00012124,01-03-26 23:17,USR10330,MCH1129,"24,348.78",UTR3223647003,5912,Success
TXN00017661,08-01-26 13:47,USR10342,MCH8398,12275.27,,5912,PENDING
TXN00011778,01-24-2026 03:42:23 AM,USR10347,MCH5231,13643.61,UTR 6607227512,4131,TXN_SUCCESS
TXN00019712,26-03-26 14:34,USR10349,MCH1637,3044.34,UTR4737347825,5812,COMPLETED
TXN00014140,30-03-26 17:11,USR10352,MCH2182,14199.97,UTR3440631859,4131,Success
TXN00006688,05-03-26 2:48,USR10352,MCH3445,8799.23,UTR 2218037225,,Success
TXN00007000,18-02-26 19:41,USR10358,MCH3643,15541.47,,,SUCCESS
TXN00004447,09-01-26 5:29,USR10358,MCH8900,Rs. 4530.49,UTR7446104580,4131,SUCCESS
TXN00014310,11-01-26 5:11,USR10363,MCH8130,5975.13,UTR3503962218,5411,COMPLETED
TXN00013996,07-02-26 2:59,USR10364,MCH7982,Rs. 10614.21,UTR8997235428,5411,SUCCESS
TXN00008601,07-02-26 1:04,USR10364,MCH6125,10464.89,UTR7120517145,,Success
TXN00012795,03-21-2026 12:46:58 PM,USR10365,MCH1195,10346.98,UTR3982107144,4131,TXN_SUCCESS
TXN00005291,27-03-26 18:31,USR10366,MCH1062,7052.81,UTR 7754940217,5912,TXN_SUCCESS
TXN00004843,02-19-2026 11:16:25 AM,USR10369,MCH1005,8814.65,UTR3370194710,5812,Fail
TXN00007500,16-01-26 0:39,USR10373,MCH8606,"16,722.14",UTR 2206017369,5411,Fail
TXN00008211,11-03-26 9:19,USR10378,MCH7476,4358.52,UTR7609531170,7011,S
TXN00008859,22-01-26 21:38,USR10378,MCH5670,14361.6,UTR4441697943,7011,SUCCESS
